아파트명,구,동,준공년도,전용면적(㎡),실거래가(만원),층수,계약일
개포6차우성아파트1동~8동,강남구,개포동,1987,79,220000,4,2022-04-12
개포6차우성아파트1동~8동,강남구,개포동,1987,79,220000,2,2022-04-21
개포6차우성아파트1동~8동,강남구,개포동,1987,79,216000,2,2022-05-27
개포래미안포레스트,강남구,개포동,2020,59,203500,5,2022-05-12
개포래미안포레스트,강남구,개포동,2020,59,195000,10,2022-06-17
개포래미안포레스트,강남구,개포동,2020,84,240000,33,2022-11-25
개포래미안포레스트,강남구,개포동,2020,84,240000,5,2022-11-29
개포래미안포레스트,강남구,개포동,2020,102,369000,13,2022-04-01
개포래미안포레스트,강남구,개포동,2020,136,420000,17,2022-05-02
개포자이,강남구,개포동,2004,168,246000,2,2022-02-07
개포자이,강남구,개포동,2004,170,303000,11,2022-07-27
개포주공6단지,강남구,개포동,1983,73,270000,5,2022-03-18
개포주공6단지,강남구,개포동,1983,83,280000,8,2022-01-15
개포주공6단지,강남구,개포동,1983,83,190000,3,2022-12-17
개포주공7단지,강남구,개포동,1983,53,211500,4,2022-03-17
개포주공7단지,강남구,개포동,1983,73,265000,6,2022-03-18
경남1,강남구,개포동,1984,123,343000,4,2022-03-08
경남2차,강남구,개포동,1984,186,400000,8,2022-04-19
그린빌리지,강남구,개포동,1996,197,180000,4,2022-02-11
디에이치아너힐즈,강남구,개포동,2019,59,227000,3,2022-05-14
디에이치아너힐즈,강남구,개포동,2019,76,305000,23,2022-04-08
디에이치아너힐즈,강남구,개포동,2019,76,220000,24,2022-12-22
디에이치아너힐즈,강남구,개포동,2019,84,250000,19,2022-11-26
디에이치아너힐즈,강남구,개포동,2019,106,430000,27,2022-09-15
디에이치아너힐즈,강남구,개포동,2019,131,590000,8,2022-02-22
래미안블레스티지,강남구,개포동,2019,59,200000,1,2022-04-16
래미안블레스티지,강남구,개포동,2019,59,228500,22,2022-05-27
래미안블레스티지,강남구,개포동,2019,59,214000,5,2022-06-28
래미안블레스티지,강남구,개포동,2019,59,210000,7,2022-07-11
래미안블레스티지,강남구,개포동,2019,59,185000,7,2022-10-08
래미안블레스티지,강남구,개포동,2019,84,300000,7,2022-01-15
래미안블레스티지,강남구,개포동,2019,84,241000,8,2022-12-05
래미안블레스티지,강남구,개포동,2019,99,360000,32,2022-06-10
